Name,Flow,Comment,ESM efficiency,LCA input unit,LCA input product,LCA input quantity,Output conversion factor,LCA output unit,ESM output unit,Input conversion factor,LCA efficiency,efficiency_ratio
CAR_GASOLINE_SD,['GASOLINE'],,1.8903591682419658,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.9311603611718468
CAR_HEV_ELD,['GASOLINE'],,2.6246719160104988,kilogram,petrol,0.05181572796301888,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.9683222403829692,0.7499307735859112
CAR_HEV_LD,['GASOLINE'],,2.6246719160104988,kilogram,petrol,0.05181572796301888,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.9683222403829692,0.7499307735859112
CAR_HEV_MD,['GASOLINE'],,2.6246719160104988,kilogram,petrol,0.05181572796301888,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.9683222403829692,0.7499307735859112
CAR_HEV_SD,['GASOLINE'],,2.6246719160104988,kilogram,petrol,0.05181572796301888,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.9683222403829692,0.7499307735859112
CAR_MEOH_ELD,['GASOLINE'],,2.564102564102564,kilogram,petrol,0.05794140146871106,0.6666666666666666,kilometer,person kilometer,0.08291873963515754,2.1466189339569524,0.8371813842432115
CAR_MEOH_LD,['GASOLINE'],,2.564102564102564,kilogram,petrol,0.05794140146871106,0.6666666666666666,kilometer,person kilometer,0.08291873963515754,2.1466189339569524,0.8371813842432115
CAR_MEOH_MD,['GASOLINE'],,2.564102564102564,kilogram,petrol,0.05794140146871106,0.6666666666666666,kilometer,person kilometer,0.08291873963515754,2.1466189339569524,0.8371813842432115
CAR_MEOH_SD,['GASOLINE'],,2.564102564102564,kilogram,petrol,0.05794140146871106,0.6666666666666666,kilometer,person kilometer,0.08291873963515754,2.1466189339569524,0.8371813842432115
CAR_PHEV_ELD,['GASOLINE'],,4.504504504504505,kilogram,petrol,0.02698039954796603,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,3.780153424708364,0.8391940602852568
CAR_PHEV_LD,['GASOLINE'],,4.504504504504505,kilogram,petrol,0.02698039954796603,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,3.780153424708364,0.8391940602852568
CAR_PHEV_MD,['GASOLINE'],,4.504504504504505,kilogram,petrol,0.02698039954796603,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,3.780153424708364,0.8391940602852568
CAR_PHEV_SD,['GASOLINE'],,4.504504504504505,kilogram,petrol,0.02698039954796603,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,3.780153424708364,0.8391940602852568
CAR_PROPANE_ELD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8903591682419658,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.9927442019776228
CAR_PROPANE_LD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8903591682419658,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.9927442019776228
CAR_PROPANE_MD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8903591682419658,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.9927442019776228
CAR_PROPANE_SD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8903591682419658,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.9927442019776228
CCGT,['NG_HP'],,0.630119722747322,cubic meter,natural gas,0.17062267180032373,1.0,kilowatt hour,kilowatt hour,0.09824437305353337,0.5757990542341687,0.9137930990696257
CCGT_CC,['NG_HP'],,0.5701254275940707,cubic meter,natural gas,0.19715029481797375,1.0,kilowatt hour,kilowatt hour,0.09824437305353337,0.49832222236462337,0.8740571780275493
COACH_BIODIESEL_B100_ELD,['BIO_DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_BIODIESEL_B100_LD,['BIO_DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_BIODIESEL_B100_MD,['BIO_DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_BIODIESEL_B20_ELD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",8.264462809917356,kilogram,diesel,0.02031894519426772,1.0,person kilometer,person kilometer,0.08453085376162299,4.160198915516068,0.5033840687774441
COACH_BIODIESEL_B20_LD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",8.264462809917356,kilogram,diesel,0.02031894519426772,1.0,person kilometer,person kilometer,0.08453085376162299,4.160198915516068,0.5033840687774441
COACH_BIODIESEL_B20_MD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",8.264462809917356,kilogram,diesel,0.02031894519426772,1.0,person kilometer,person kilometer,0.08453085376162299,4.160198915516068,0.5033840687774441
COACH_CNG_ELD,['NG_HP'],,9.090909090909092,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,0.6959982915127212
COACH_CNG_LD,['NG_HP'],,9.090909090909092,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,0.6959982915127212
COACH_CNG_MD,['NG_HP'],,9.090909090909092,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,0.6959982915127212
COACH_DIESEL_ELD,['DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_DIESEL_LD,['DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_DIESEL_MD,['DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_ETOH_E10_ELD,['GASOLINE'],,6.756756756756757,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.231418878992756
COACH_ETOH_E10_LD,['GASOLINE'],,6.756756756756757,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.231418878992756
COACH_ETOH_E10_MD,['GASOLINE'],,6.756756756756757,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.231418878992756
COACH_GASOLINE_ELD,['GASOLINE'],,6.0606060606060606,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.3728656421203023
COACH_GASOLINE_LD,['GASOLINE'],,6.0606060606060606,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.3728656421203023
COACH_GASOLINE_MD,['GASOLINE'],,6.0606060606060606,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.3728656421203023
COACH_HY_DIESEL_ELD,['DIESEL'],,5.46448087431694,kilogram,diesel,0.00937062744408301,1.0,person kilometer,person kilometer,0.08453085376162299,9.020831770982333,1.650812214089767
COACH_HY_DIESEL_LD,['DIESEL'],,5.46448087431694,kilogram,diesel,0.00937062744408301,1.0,person kilometer,person kilometer,0.08453085376162299,9.020831770982333,1.650812214089767
COACH_HY_DIESEL_MD,['DIESEL'],,5.46448087431694,kilogram,diesel,0.00937062744408301,1.0,person kilometer,person kilometer,0.08453085376162299,9.020831770982333,1.650812214089767
COACH_PROPANE_ELD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",6.0606060606060606,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,1.043997437269082
COACH_PROPANE_LD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",6.0606060606060606,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,1.043997437269082
COACH_PROPANE_MD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",6.0606060606060606,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,1.043997437269082
COAL_GAS_H2,['COAL'],,0.6116207951070336,kilogram,hard coal,6.1770594959214495,0.030030030030030033,kilogram,kilowatt hour,0.11618450098756827,0.6263407184989209,1.0240670747457359
COAL_GAS_H2_ADV,['COAL'],,0.3287310979618672,kilogram,hard coal,6.1770594959214495,0.030030030030030033,kilogram,kilowatt hour,0.11618450098756827,0.6263407184989209,1.9053284656737173
COAL_GAS_H2_ADV_CCS,['COAL'],,0.3402517863218782,kilogram,hard coal,6.771,0.030030030030030033,kilogram,kilowatt hour,0.11618450098756827,0.571399185184762,1.6793422052580154
COAL_GAS_H2_CCS,['COAL'],,0.5543237250554324,kilogram,hard coal,6.771,0.030030030030030033,kilogram,kilowatt hour,0.11618450098756827,0.571399185184762,1.0308041300733106
COAL_IGCC,['COAL'],,0.48426150121065376,kilogram,hard coal,0.24793388429752067,1.0,kilowatt hour,kilowatt hour,0.11618450098756827,0.4686108206498587,0.9676813446419582
COAL_IGCC_CC,['COAL'],,0.38759689922480617,kilogram,hard coal,0.3030303030303031,1.0,kilowatt hour,kilowatt hour,0.11618450098756827,0.3834088532589752,0.9891948414081562
COAL_US,['COAL'],,0.5154639175257733,kilogram,lignite,0.9623095429029672,1.0,kilowatt hour,kilowatt hour,0.2705993776214315,0.2811978532449375,0.5455238352951787
COAL_US_CC,['COAL'],,0.5037783375314862,kilogram,lignite,1.2539184952978057,1.0,kilowatt hour,kilowatt hour,0.2705993776214315,0.2158030036530916,0.4283689622513868
DEC_BOILER_GAS,['NG_LP'],,0.9009009009009008,cubic meter,natural gas,0.0288888888888889,3.6,megajoule,kilowatt hour,0.09824437305353337,0.9446574332070512,1.0485697508598268
DEC_BOILER_OIL,['LFO'],,0.8474576271186441,kilogram,light fuel oil,0.02342,3.6,megajoule,kilowatt hour,0.08865248226950355,1.0514811921138574,1.2407478066943516
DEC_BOILER_WOOD,['WOOD'],,0.8474576271186441,kilogram,wood ash mixture,0.06988007054673724,3.6,megajoule,kilowatt hour,0.2336448598130841,0.9287533547160853,1.0959289585649805
DEC_COGEN_GAS,['NG_LP'],,0.4608294930875576,cubic meter,natural gas,0.010818223374630637,15.803336259877085,megajoule,kilowatt hour,0.09824437305353337,0.5746494032076536,1.2469892049606082
DEC_COGEN_OIL,['LFO'],,0.4291845493562232,kilogram,light fuel oil,0.02342,3.6,megajoule,kilowatt hour,0.08865248226950355,1.0514811921138574,2.449951177625288
DEC_COGEN_WOOD,['WOOD'],,0.5299417064122947,kilogram,wood ash mixture,0.06988007054673724,3.6,megajoule,kilowatt hour,0.2336448598130841,0.9287533547160853,1.752557580349253
DEC_THHP_GAS,['NG_LP'],,1.4925373134328357,cubic meter,natural gas,0.0210438888888889,3.6,megajoule,kilowatt hour,0.09824437305353337,1.2968184621232517,0.8688683696225787
DHN_BOILER_GAS,['NG_MP'],,0.9259259259259258,cubic meter,natural gas,0.0289351851851852,3.6,megajoule,kilowatt hour,0.09824437305353337,0.9431459813139199,1.0185976598190336
DHN_BOILER_OIL,['LFO'],,0.8695652173913044,kilogram,light fuel oil,0.0246526315789474,3.6,megajoule,kilowatt hour,0.08865248226950355,0.9989071325081633,1.1487432023843878
DHN_BOILER_WOOD,['WOOD'],,0.8620689655172414,kilogram,wood ash mixture,0.0655125661375661,3.6,megajoule,kilowatt hour,0.2336448598130841,0.9906702450304918,1.1491774842353704
DHN_COGEN_GAS,['NG_MP'],,0.4,cubic meter,natural gas,0.009535622922780018,22.00488997555012,megajoule,kilowatt hour,0.09824437305353337,0.46820863087452536,1.1705215771863133
DHN_COGEN_WOOD,['WOOD'],,0.5291005291005292,kilogram,wood ash mixture,0.039265274125881766,10.672991402312482,megajoule,kilowatt hour,0.2336448598130841,0.5575212659233005,1.0537151925950379
FT,['WOOD'],,0.532197977647685,kilogram,wood chips,3.3061729450149997,0.08453085376162299,kilogram,kilowatt hour,0.2336448598130841,0.8360175760788113,1.5708770254520865
GASIFICATION_H2,['WOOD'],,0.6134969325153374,kilogram,wood ash mixture,10.284599713845388,0.030030030030030033,kilogram,kilowatt hour,0.2336448598130841,0.7565072096390454,1.2331067517116439
GASIFICATION_SNG,['WOOD'],,0.7401924500370096,kilogram,wood chips,1.462075,0.1506276150627615,kilogram,kilowatt hour,0.2336448598130841,1.060918395950335,1.4333007529289026
H2_NG_CCGT,['NG_MP'],,0.8333333333333334,cubic meter,natural gas,0.17062267180032373,1.0,kilowatt hour,kilowatt hour,0.09824437305353337,0.5757990542341687,0.6909588650810023
H2_NG_CCGT_CCS,['NG_MP'],,0.7547169811320755,cubic meter,natural gas,0.19715029481797375,1.0,kilowatt hour,kilowatt hour,0.09824437305353337,0.49832222236462337,0.6602769446331259
HYDRO_GAS,['WET_BIOMASS'],,0.42372881355932207,kilogram,wood chips,1.462075,0.1506276150627615,kilogram,kilowatt hour,0.2336448598130841,1.060918395950335,2.50376741444279
HYDRO_GAS_CHP,['WET_BIOMASS'],,0.25400050800101603,kilogram,wood chips,1.462075,0.37656903765690375,kilogram,kilowatt hour,0.2336448598130841,0.42436735838013406,1.6707342899425877
IND_BOILER_COAL,['COAL'],,0.819672131147541,kilogram,hard coal,0.04325,3.6,megajoule,kilowatt hour,0.11618450098756827,0.7462074565675547,0.9103730970124168
IND_BOILER_GAS,['NG_MP'],,0.9803921568627451,cubic meter,natural gas,0.0292397660818713,3.6,megajoule,kilowatt hour,0.09824437305353337,0.9333215440085685,0.9519879748887399
IND_BOILER_OIL,['LFO'],,0.8726003490401397,kilogram,heavy fuel oil,0.0259263157894737,3.6,megajoule,kilowatt hour,0.09233610341643582,0.9893005170480216,1.1337383925370326
IND_BOILER_WOOD,['WOOD'],,0.8643042350907519,kilogram,wood ash mixture,0.06988007054673724,3.6,megajoule,kilowatt hour,0.2336448598130841,0.9287533547160853,1.0745676314065107
IND_COGEN_GAS,['NG_MP'],,0.45998160073597055,cubic meter,natural gas,0.009535622922780018,22.00488997555012,megajoule,kilowatt hour,0.09824437305353337,0.46820863087452536,1.017885563521218
IND_COGEN_WOOD,['WOOD'],,0.5299417064122947,kilogram,wood ash mixture,0.039265274125881766,10.672991402312482,megajoule,kilowatt hour,0.2336448598130841,0.5575212659233005,1.0520426287972682
LCV_BIODIESEL_B100_MD,['BIO_DIESEL'],,0.7961783439490446,kilogram,diesel,0.046430282294750214,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,1.3654480909409754,1.715002802221865
LCV_BIODIESEL_B100_SD,['BIO_DIESEL'],,0.7961783439490446,kilogram,diesel,0.046430282294750214,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,1.3654480909409754,1.715002802221865
LCV_BIODIESEL_B20_MD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",0.7961783439490447,kilogram,diesel,0.09286056458950043,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,0.6827240454704877,0.8575014011109324
LCV_BIODIESEL_B20_SD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",0.7961783439490447,kilogram,diesel,0.09286056458950043,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,0.6827240454704877,0.8575014011109324
LCV_DIESEL_MD,['DIESEL'],,0.7961783439490446,kilogram,diesel,0.046430282294750214,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,1.3654480909409754,1.715002802221865
LCV_DIESEL_SD,['DIESEL'],,0.7961783439490446,kilogram,diesel,0.046430282294750214,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,1.3654480909409754,1.715002802221865
LCV_GASOLINE_MD,['GASOLINE'],,0.6540222367560498,kilogram,diesel,0.046430282294750214,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,1.3654480909409754,2.0877701310487513
LCV_GASOLINE_SD,['GASOLINE'],,0.6540222367560498,kilogram,diesel,0.046430282294750214,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,1.3654480909409754,2.0877701310487513
LCV_PHEV_DIESEL_MD,['DIESEL'],,3.5211267605633805,kilogram,diesel,0.03036314807832241,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,2.087996282785973,0.5929909443112162
LCV_PHEV_DIESEL_SD,['DIESEL'],,3.5211267605633805,kilogram,diesel,0.03036314807832241,1.3333333333333333,kilometer,ton kilometer,0.08453085376162299,2.087996282785973,0.5929909443112162
METHANATION,['H2_MP'],,0.7800312012480499,kilogram,hydrogen,0.498186889818689,0.07633587786259542,kilogram,kilowatt hour,0.030030030030030033,0.7896502325393703,1.0123315981154728
NG_PYROLYSIS_PLASMA,['NG_MP'],,0.5356186395286556,cubic meter,natural gas,5.67,0.030030030030030033,kilogram,kilowatt hour,0.09824437305353337,0.5769907623778944,1.0772417533595287
NG_PYROLYSIS_THERMAL,['NG_MP'],,0.5257623554153523,cubic meter,natural gas,5.67,0.030030030030030033,kilogram,kilowatt hour,0.09824437305353337,0.5769907623778944,1.097436430042755
NG_REFORMING,['NG_MP'],,0.7326007326007326,cubic meter,natural gas,4.249188189123408,0.030030030030030033,kilogram,kilowatt hour,0.09824437305353337,0.7699206241457541,1.0509416519589545
NUCLEAR,['URANIUM'],,0.37037037037037035,kilogram,nuclear fuel element,2.46e-06,1.0,kilowatt hour,kilowatt hour,9.230769230769231e-07,0.37523452157598497,1.0131332082551594
PLANE_FREIGHT_ELD,['JETFUEL'],,0.30959752321981426,kilogram,kerosene,0.23290000000000002,1.0,ton kilometer,ton kilometer,0.08375209380234507,0.35960538343643217,1.161525388499676
PLANE_LH_ELD,['JETFUEL'],,2.6881720430107525,kilogram,kerosene,0.038419992,1.0,person kilometer,person kilometer,0.08375209380234507,2.1799091942118327,0.8109262202468018
PLANE_SH_LD,['JETFUEL'],,2.6881720430107525,kilogram,kerosene,0.026427471999999997,1.0,person kilometer,person kilometer,0.08375209380234507,3.169129979679671,1.1789163524408377
